,Order_ID,Date,Average Price,Total Volume,PLU 4046 sold,PLU 4225 sold,PLU 4770 sold ,Total Bags,Small Bags,Large Bags,XLarge Bags,Type,Year,Region
20,20,2015-08-09,1.07,690517.19,4173.23,590998.11,827.06,94518.79,94287.69,231.1,0.0,conventional,2015,Boston
21,21,2015-08-02,1.17,571994.5,4442.2,468591.76,1451.95,97508.59,97214.15,294.44,0.0,conventional,2015,Boston
22,22,2015-07-26,1.28,500233.69,4299.27,393281.62,1957.86,100694.94,100466.86,228.08,0.0,conventional,2015,Boston
23,23,2015-07-19,1.18,597168.12,4720.08,477629.8,5071.77,109746.47,109519.0,227.47,0.0,conventional,2015,Boston
24,24,2015-07-12,1.14,634515.74,5332.07,471639.53,9361.55,148182.59,146946.54,1236.05,0.0,conventional,2015,Boston
25,25,2015-07-05,1.27,582909.73,4743.46,418251.03,11053.82,148861.42,145982.99,2878.43,0.0,conventional,2015,Boston
26,26,2015-06-28,1.25,560494.92,4688.28,403230.6,9120.3,143455.74,142574.63,881.11,0.0,conventional,2015,Boston
27,27,2015-06-21,1.24,543504.66,3582.45,404908.53,8899.2,126114.48,125821.15,293.33,0.0,conventional,2015,Boston
28,28,2015-06-14,1.08,684346.48,5104.19,521254.77,6545.42,151442.1,151258.77,183.33,0.0,conventional,2015,Boston
29,29,2015-06-07,1.25,562542.86,4034.11,421007.42,93.05,137408.28,137224.94,183.34,0.0,conventional,2015,Boston
30,30,2015-05-31,1.26,565160.95,4128.35,418105.36,108.6,142818.64,142515.32,303.32,0.0,conventional,2015,Boston
31,31,2015-05-24,1.14,633521.98,4601.66,490485.76,276.82,138157.74,137769.31,388.43,0.0,conventional,2015,Boston
32,32,2015-05-17,1.26,534488.54,4285.68,380514.08,162.66,149526.12,147667.72,1858.4,0.0,conventional,2015,Boston
33,33,2015-05-10,1.14,625558.14,4601.5,476827.52,131.47,143997.65,141309.43,2688.22,0.0,conventional,2015,Boston
34,34,2015-05-03,1.17,552368.94,3828.64,429586.28,239.76,118714.26,115148.87,3565.39,0.0,conventional,2015,Boston
35,35,2015-04-26,1.28,465911.37,3915.3,352464.49,131.46,109400.12,106866.42,2533.7,0.0,conventional,2015,Boston
36,36,2015-04-19,1.15,504619.83,4013.71,384880.49,162.91,115562.72,114562.17,1000.55,0.0,conventional,2015,Boston
37,37,2015-04-12,1.26,408485.16,3575.89,294164.23,106.09,110638.95,108644.33,1994.62,0.0,conventional,2015,Boston
38,38,2015-04-05,1.27,449818.01,3657.54,330424.74,99.92,115635.81,113541.34,1948.64,145.83,conventional,2015,Boston
39,39,2015-03-29,1.19,453631.25,3619.31,339299.3,151.36,110561.28,108838.11,1723.17,0.0,conventional,2015,Boston
40,40,2015-03-22,1.18,453173.22,5956.18,344396.92,155.94,102664.18,102204.17,460.01,0.0,conventional,2015,Boston
41,41,2015-03-15,1.25,417750.36,6085.75,308996.7,111.59,102556.32,101931.87,624.45,0.0,conventional,2015,Boston
42,42,2015-03-08,1.17,408403.96,3425.53,290512.65,78.96,114386.82,113811.26,575.56,0.0,conventional,2015,Boston
43,43,2015-03-01,1.11,485736.1,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0.0,conventional,2015,Boston
44,44,2015-02-22,1.23,355432.28,3232.68,251341.3,142.33,100715.97,100498.19,217.78,0.0,conventional,2015,Boston
45,45,2015-02-15,1.2,399883.99,3794.97,281106.45,143.41,114839.16,114283.61,555.55,0.0,conventional,2015,Boston
46,46,2015-02-08,1.04,609985.34,7653.19,495731.7,383.73,106216.72,105403.38,813.34,0.0,conventional,2015,Boston
47,47,2015-02-01,1.22,490022.14,6082.88,373452.06,272.81,110214.39,109900.93,313.46,0.0,conventional,2015,Boston
48,48,2015-01-25,1.17,409343.56,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0.0,conventional,2015,Boston
49,49,2015-01-18,1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0.0,conventional,2015,Boston
50,50,2015-01-11,1.1,437771.89,5548.11,320577.36,121.81,111524.61,111192.88,331.73,0.0,conventional,2015,Boston
51,51,2015-01-04,1.02,491738.0,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0.0,conventional,2015,Boston
52,0,2015-12-27,0.9,5040365.47,1833946.59,1760956.02,232755.85,1212707.01,1090140.07,110737.35,11829.59,conventional,2015,California
53,1,2015-12-20,0.94,4695737.21,1676601.43,1543280.76,266689.82,1209165.2,1061703.58,136747.1,10714.52,conventional,2015,California
54,2,2015-12-13,0.87,5259354.3,1806690.08,1627240.76,232985.13,1592438.33,1404012.0,180150.37,8275.96,conventional,2015,California
55,3,2015-12-06,0.78,5775536.27,1943065.5,2100246.17,221957.26,1510267.34,1376640.91,126664.37,6962.06,conventional,2015,California
56,4,2015-11-29,0.91,4575710.62,1461699.38,1810202.7,222311.07,1081497.47,991568.84,82338.39,7590.24,conventional,2015,California
57,5,2015-11-22,0.92,4804278.16,1602215.57,1917124.52,215632.16,1069305.91,979612.52,82444.32,7249.07,conventional,2015,California
58,6,2015-11-15,0.83,5755190.69,2243013.44,2164098.99,195159.32,1152918.94,1091768.68,53797.92,7352.34,conventional,2015,California
59,7,2015-11-08,0.98,5148983.51,2317858.81,1758964.54,216523.58,855636.58,813006.4,36305.96,6324.22,conventional,2015,California
60,8,2015-11-01,0.95,5830427.96,2369824.75,2596785.28,211901.97,651915.96,626993.54,19804.69,5117.73,conventional,2015,California
61,9,2015-10-25,1.12,4592461.81,1733791.31,2025016.15,215622.63,618031.72,606392.86,7596.27,4042.59,conventional,2015,California
62,10,2015-10-18,1.07,4999031.79,1847991.31,2286235.79,217814.17,646990.52,633893.61,10780.32,2316.59,conventional,2015,California
63,11,2015-10-11,1.08,5063309.38,1757211.58,2530023.18,221032.74,555041.88,533478.03,18373.18,3190.67,conventional,2015,California
64,12,2015-10-04,1.02,4943781.29,1461112.39,2788317.94,222260.58,472090.38,442923.78,25572.26,3594.34,conventional,2015,California
65,13,2015-09-27,1.04,5216784.63,1860050.39,2635028.38,206460.07,515245.79,496867.66,13336.34,5041.79,conventional,2015,California
66,14,2015-09-20,1.14,4759791.13,1702965.49,2230693.51,273922.36,552209.77,529779.37,17303.91,5126.49,conventional,2015,California
67,15,2015-09-13,1.13,5106508.12,1863270.81,2388023.33,270794.34,584419.64,502056.88,76297.56,6065.2,conventional,2015,California
68,16,2015-09-06,1.09,5806392.78,2859325.91,2077193.6,240185.0,629688.27,591629.83,33545.37,4513.07,conventional,2015,California
69,17,2015-08-30,1.08,5647385.15,3104607.82,1660274.32,233027.36,649475.65,640600.64,5989.25,2885.76,conventional,2015,California
70,18,2015-08-23,1.18,5193221.0,2626977.95,1798911.33,222082.91,545248.81,535183.95,6573.5,3491.36,conventional,2015,California
71,19,2015-08-16,1.11,5616434.08,3098708.55,1731349.0,208724.73,577651.8,572197.46,2081.96,3372.38,conventional,2015,California
72,20,2015-08-09,1.1,6232081.27,3260775.73,2196704.97,193831.6,580768.97,570728.54,7356.84,2683.59,conventional,2015,California
73,21,2015-08-02,1.16,5428238.87,2940145.82,1737845.94,183471.03,566776.08,559587.76,4953.57,2234.75,conventional,2015,California
74,22,2015-07-26,1.13,5557616.27,3112921.78,1636659.9,209427.05,598607.54,590750.1,5181.16,2676.28,conventional,2015,California
75,23,2015-07-19,1.18,5225200.52,2805887.74,1629871.75,188207.47,601233.56,577736.96,20673.8,2822.8,conventional,2015,California
76,24,2015-07-12,1.13,5451636.92,2747299.98,1923893.11,157478.05,622965.78,601358.64,18032.41,3574.73,conventional,2015,California
77,25,2015-07-05,1.12,1960503.39737,3581149.88,2120303.06,254187.47,762371.42,731692.08,27317.19,3362.15,conventional,2015,California
78,26,2015-06-28,1.1,5641742.02,3163839.74,1610910.07,212173.21,654819.0,630301.44,21861.54,2656.02,conventional,2015,California
79,27,2015-06-21,1.07,5952597.29,3328631.93,1743509.25,218423.77,662032.34,634244.68,24277.53,3510.13,conventional,2015,California
80,28,2015-06-14,0.97,1960503.39737,4075881.34,1771908.98,210670.82,683201.17,657421.42,22961.19,2818.56,conventional,2015,California
81,29,2015-06-07,0.98,6374842.9,3614314.44,1860329.3,221330.48,678868.68,651944.51,23422.39,3501.78,conventional,2015,California
82,30,2015-05-31,0.98,6236903.31,3620440.35,1826496.62,209443.33,580523.01,554224.64,23083.08,3215.29,conventional,2015,California
83,31,2015-05-24,1.1,5621713.64,2978396.74,1873205.91,195991.06,574119.93,546420.69,24485.84,3213.4,conventional,2015,California
84,32,2015-05-17,1.08,5289138.5,2923673.93,1649623.66,168597.35,547243.56,525804.7,18497.03,2941.83,conventional,2015,California
85,33,2015-05-10,0.93,1960503.39737,4085858.78,1735132.32,194575.97,634790.89,613601.09,18366.27,2823.53,conventional,2015,California
86,34,2015-05-03,0.88,1960503.39737,4340117.03,3403145.1,192473.92,631798.44,609388.58,19735.89,2673.97,conventional,2015,California
87,35,2015-04-26,1.15,4923565.04,2421009.67,1729486.77,196469.02,576599.58,548252.41,26483.99,1863.18,conventional,2015,California
88,36,2015-04-19,1.05,5871080.81,3024466.22,2070974.14,177354.82,598285.63,524767.96,71988.59,1529.08,conventional,2015,California
89,37,2015-04-12,1.06,5636644.51,2848184.0,1988818.23,185198.77,614443.51,532714.02,79865.3,1864.19,conventional,2015,California
90,38,2015-04-05,1.12,5467155.55,2754464.87,1886168.89,225396.85,601124.94,539258.29,59212.09,2654.56,conventional,2015,California
91,39,2015-03-29,1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.18,605995.11,61958.73,1486.34,conventional,2015,California
92,40,2015-03-22,1.06,5571812.77,2348618.25,2314393.94,195791.46,713009.12,681403.86,30058.97,1546.29,conventional,2015,California
93,41,2015-03-15,1.06,5557163.11,2962520.41,1737353.95,194761.49,662527.26,632903.55,27625.15,1998.56,conventional,2015,California
94,42,2015-03-08,0.96,5990243.89,3484274.6,1649936.05,184720.58,671312.66,642307.0,27241.05,1764.61,conventional,2015,California
95,43,2015-03-01,0.84,1960503.39737,3516551.29,2460932.41,170580.54,552070.01,515386.4,34845.51,1838.1,conventional,2015,California
96,44,2015-02-22,0.96,5951871.32,3210177.22,1933699.49,172675.88,635318.73,596184.9,36940.51,2193.32,conventional,2015,California
97,45,2015-02-15,0.96,5699944.93,3315163.6,1620462.13,169907.54,594411.66,544990.68,47017.93,2403.05,conventional,2015,California
98,46,2015-02-08,0.91,5871224.58,2908845.38,2200393.89,149458.93,612526.38,553682.71,56311.08,2532.59,conventional,2015,California
99,47,2015-02-01,0.85,1960503.39737,4794142.14,3460743.8,177145.49,600149.24,556205.2,41203.2,2740.84,conventional,2015,California
100,48,2015-01-25,1.06,4929884.26,2380955.61,1827783.28,150535.5,570609.87,521004.15,46809.48,2796.24,conventional,2015,California
101,49,2015-01-18,1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,conventional,2015,California
102,50,2015-01-11,0.92,6024932.34,2889591.29,2485720.1,103573.42,546047.53,510560.41,31874.03,3613.09,conventional,2015,California
103,51,2015-01-04,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,conventional,2015,California
104,0,2015-12-27,0.93,661137.13,42799.0,445218.79,78378.25,94741.09,83066.75,1617.67,10056.67,conventional,2015,Chicago
105,1,2015-12-20,0.91,690669.34,35724.99,464574.15,96306.3,94063.9,76241.25,9592.65,8230.0,conventional,2015,Chicago
106,2,2015-12-13,1.07,668601.5,40380.09,451470.42,94162.53,82588.46,76829.42,5693.75,65.29,conventional,2015,Chicago
107,3,2015-12-06,1.14,664020.49,53173.18,455048.11,92888.37,62910.83,62473.12,420.95,16.76,conventional,2015,Chicago
108,4,2015-11-29,1.11,602481.22,42851.47,422479.32,74988.97,62161.46,61862.57,298.89,0.0,conventional,2015,Chicago
109,5,2015-11-22,0.94,751897.89,34868.5,553545.31,89732.33,73751.75,73457.31,294.44,0.0,conventional,2015,Chicago
110,6,2015-11-15,1.17,641881.96,31286.11,441753.6,93857.48,74984.77,74723.66,261.11,0.0,conventional,2015,Chicago
111,7,2015-11-08,1.01,711146.61,44528.42,498562.41,101889.32,66166.46,65842.08,324.38,0.0,conventional,2015,Chicago
112,8,2015-11-01,1.0,807041.46,69420.04,562214.56,106536.92,68869.94,68447.93,422.01,0.0,conventional,2015,Chicago
113,9,2015-10-25,1.12,687650.27,59161.08,454352.6,108012.41,66124.18,65795.24,323.33,5.61,conventional,2015,Chicago
114,10,2015-10-18,1.15,690302.58,25883.13,482992.35,118311.09,63116.01,62076.66,285.56,753.79,conventional,2015,Chicago
115,11,2015-10-11,1.08,708914.17,16455.46,503813.92,119996.31,68648.48,65144.93,528.99,2974.56,conventional,2015,Chicago
116,12,2015-10-04,1.18,675172.63,14268.84,485262.12,105711.4,69930.27,66015.29,2240.14,1674.84,conventional,2015,Chicago
117,13,2015-09-27,1.15,720501.55,16483.95,532028.74,101193.84,70795.02,63370.36,2923.19,4501.47,conventional,2015,Chicago
118,14,2015-09-20,1.19,729117.42,16477.56,534644.45,103103.75,74891.66,71195.89,3316.58,379.19,conventional,2015,Chicago
119,15,2015-09-13,1.19,775671.49,17172.26,546965.49,128619.66,82914.08,78368.45,3809.54,736.09,conventional,2015,Chicago
120,16,2015-09-06,1.11,808677.78,17595.54,581941.46,122938.43,86202.35,82905.34,3289.62,7.39,conventional,2015,Chicago
121,17,2015-08-30,1.12,773773.53,17363.14,570147.23,112344.22,73918.94,71627.03,2205.32,86.59,conventional,2015,Chicago
122,18,2015-08-23,1.2,751850.01,17595.95,550359.51,103622.38,80272.17,77073.51,2759.79,438.87,conventional,2015,Chicago
123,19,2015-08-16,1.16,817690.89,19193.94,609692.45,104997.44,83807.06,80018.54,3447.81,340.71,conventional,2015,Chicago
124,20,2015-08-09,1.25,731125.01,18237.36,526303.06,104796.41,81788.18,79510.48,1904.8,372.9,conventional,2015,Chicago
125,21,2015-08-02,1.27,761027.42,21607.12,559825.17,97419.33,82175.8,79197.97,2476.3,501.53,conventional,2015,Chicago
126,22,2015-07-26,1.12,791332.34,26653.29,577460.34,99066.58,88152.13,83728.75,3516.34,907.04,conventional,2015,Chicago
127,23,2015-07-19,1.24,797060.27,20534.84,560871.56,116910.43,98743.44,92362.71,3531.27,2849.46,conventional,2015,Chicago
128,24,2015-07-12,1.26,772151.2,22933.92,545739.34,109149.46,94328.48,90428.86,2536.23,1363.39,conventional,2015,Chicago
129,25,2015-07-05,1.24,937317.45,28422.72,661207.19,118634.7,129052.84,126579.11,2236.49,237.24,conventional,2015,Chicago
130,26,2015-06-28,1.21,786250.22,27391.54,524476.99,104595.1,129786.59,126835.7,1896.33,1054.56,conventional,2015,Chicago
131,27,2015-06-21,1.24,804902.52,34715.08,536926.08,122239.65,111021.71,107242.86,1658.76,2120.09,conventional,2015,Chicago
132,28,2015-06-14,1.21,868197.41,55227.59,586037.06,107908.15,119024.61,116318.18,2618.95,87.48,conventional,2015,Chicago
133,29,2015-06-07,1.24,824216.23,51410.51,544663.98,122929.34,105212.4,99942.37,4693.09,576.94,conventional,2015,Chicago
134,30,2015-05-31,1.26,803571.87,50563.81,518850.04,132732.66,101425.36,99122.66,2299.08,3.62,conventional,2015,Chicago
135,31,2015-05-24,1.23,887105.04,57568.25,611797.34,113475.77,104263.68,101615.53,2639.11,9.04,conventional,2015,Chicago
136,32,2015-05-17,1.23,817870.17,54087.8,569043.02,109205.15,85534.2,82689.93,2813.47,30.8,conventional,2015,Chicago
137,33,2015-05-10,1.23,835938.63,55587.31,545784.15,141250.98,93316.19,88847.94,4468.25,0.0,conventional,2015,Chicago
138,34,2015-05-03,1.04,978376.13,64798.64,690167.81,129694.01,93715.67,89297.42,4414.64,3.61,conventional,2015,Chicago
139,35,2015-04-26,1.24,779868.01,46749.43,543002.3,97410.38,92705.9,88341.96,3573.83,790.11,conventional,2015,Chicago
140,36,2015-04-19,1.24,832529.06,52850.1,594214.84,93303.25,92160.87,89276.61,2780.32,103.94,conventional,2015,Chicago
141,37,2015-04-12,1.24,710718.98,45103.98,488323.33,83137.77,94153.9,91664.47,2475.13,14.3,conventional,2015,Chicago
142,38,2015-04-05,1.27,751812.42,38641.17,530946.92,90801.53,91422.8,87170.22,3422.83,829.75,conventional,2015,Chicago
143,39,2015-03-29,1.22,757271.96,25629.52,545317.99,84865.54,101458.91,97284.77,4163.46,10.68,conventional,2015,Chicago
144,40,2015-03-22,1.21,799946.53,29308.0,596341.85,83937.78,90358.9,87394.44,2925.41,39.05,conventional,2015,Chicago
145,41,2015-03-15,1.09,827010.39,30100.78,600833.1,98822.1,97254.41,93312.94,3914.88,26.59,conventional,2015,Chicago
146,42,2015-03-08,1.18,772997.09,27489.32,523118.0,112934.4,109455.37,107215.4,2234.66,5.31,conventional,2015,Chicago
147,43,2015-03-01,1.09,863391.73,24137.05,637043.16,111791.06,90420.46,88092.48,2289.01,38.97,conventional,2015,Chicago
148,44,2015-02-22,1.18,773078.09,39072.26,533387.47,106178.47,94439.89,90447.44,3976.51,15.94,conventional,2015,Chicago
149,45,2015-02-15,1.17,726401.24,29711.82,488591.6,110446.6,97651.22,92518.95,5112.69,19.58,conventional,2015,Chicago
150,46,2015-02-08,1.13,729325.61,28216.83,499138.28,119634.41,82336.09,78980.96,3273.2,81.93,conventional,2015,Chicago
151,47,2015-02-01,0.91,1133491.66,50783.91,824745.44,164884.41,93077.9,89516.93,3448.62,112.35,conventional,2015,Chicago
152,48,2015-01-25,1.22,745439.17,26117.56,488218.44,145882.24,85220.93,75867.61,9265.81,87.51,conventional,2015,Chicago
153,49,2015-01-18,1.14,797741.43,24917.77,533717.99,140239.95,98865.72,95516.44,3311.71,37.57,conventional,2015,Chicago
154,50,2015-01-11,1.15,802874.94,31239.94,558487.79,133848.57,79298.64,74716.43,4539.25,42.96,conventional,2015,Chicago
155,51,2015-01-04,1.11,783068.03,30270.26,550752.19,124506.1,77539.48,72888.46,4651.02,0.0,conventional,2015,Chicago
156,0,2015-12-27,0.8,2326942.14,976982.58,455203.42,86202.11,808554.03,722787.61,74359.03,11407.39,conventional,2015,LosAngeles
157,1,2015-12-20,0.85,2149872.45,870581.1,396515.66,96111.9,786663.79,681332.22,94921.87,10409.7,conventional,2015,LosAngeles
158,2,2015-12-13,0.74,2690296.07,1072331.45,456120.56,67975.05,1093869.01,962784.81,123270.26,7813.94,conventional,2015,LosAngeles
159,3,2015-12-06,0.66,3048290.53,1204232.39,682692.02,64728.33,1096637.79,997845.83,92324.72,6467.24,conventional,2015,LosAngeles
160,4,2015-11-29,0.83,2156008.93,833468.11,501667.47,70943.62,749929.73,681435.37,61342.99,7151.37,conventional,2015,LosAngeles
161,5,2015-11-22,0.81,2268076.38,886079.66,558302.72,75963.22,747730.78,676325.88,64489.99,6914.91,conventional,2015,LosAngeles
162,6,2015-11-15,0.74,2828361.9,1281378.91,661936.25,70734.46,814312.28,763322.82,44152.29,6837.17,conventional,2015,LosAngeles
163,7,2015-11-08,0.84,2621078.31,1314856.37,702841.97,75385.11,527994.86,492713.56,29335.02,5946.28,conventional,2015,LosAngeles
164,8,2015-11-01,0.89,2617806.65,1232603.24,914725.31,74252.61,396225.49,378048.56,13371.54,4805.39,conventional,2015,LosAngeles
165,9,2015-10-25,0.95,2327634.45,974251.62,925306.32,78774.2,349302.31,341731.29,3774.75,3796.27,conventional,2015,LosAngeles
166,10,2015-10-18,0.89,2661345.12,1045819.2,1169758.16,78303.54,367464.22,358998.74,6303.21,2162.27,conventional,2015,LosAngeles
167,11,2015-10-11,0.92,2591981.76,1014382.6,1205553.71,74862.42,297183.03,280841.88,13203.35,3137.8,conventional,2015,LosAngeles
168,12,2015-10-04,0.98,2278629.09,798046.49,1120569.37,86683.25,273329.98,251924.68,17899.44,3505.86,conventional,2015,LosAngeles
169,13,2015-09-27,0.9,2674658.54,1004429.55,1305809.85,81864.64,282554.5,268104.31,9642.69,4807.5,conventional,2015,LosAngeles
170,14,2015-09-20,0.99,2392448.9,1024117.14,947562.49,118706.07,302063.2,284791.57,12275.43,4996.2,conventional,2015,LosAngeles
171,15,2015-09-13,0.98,2549512.5,1076046.71,1079298.4,97210.13,296957.26,226956.87,64067.31,5933.08,conventional,2015,LosAngeles
172,16,2015-09-06,0.92,2983163.34,1809743.28,738938.41,90624.69,343856.96,312763.93,26701.71,4391.32,conventional,2015,LosAngeles
173,17,2015-08-30,0.9,3037663.98,2084250.55,503077.81,86574.37,363761.25,357387.32,3503.63,2870.3,conventional,2015,LosAngeles
174,18,2015-08-23,1.03,2604991.25,1687625.73,538010.14,92245.94,287109.44,279700.22,3994.61,3414.61,conventional,2015,LosAngeles
175,19,2015-08-16,0.93,2943218.77,2040657.52,516718.52,79890.52,305952.21,301831.12,760.09,3361.0,conventional,2015,LosAngeles
176,20,2015-08-09,0.94,3371114.14,2176899.72,813280.77,69168.37,311765.28,304882.47,4251.42,2631.39,conventional,2015,LosAngeles
177,21,2015-08-02,1.0,2742211.46,1883744.01,503247.72,58532.61,296687.12,291524.01,2991.1,2172.01,conventional,2015,LosAngeles
178,22,2015-07-26,0.95,2893887.74,2052103.6,440413.6,79478.59,321891.95,316322.88,2936.81,2632.26,conventional,2015,LosAngeles
179,23,2015-07-19,1.02,2614726.11,1801294.72,417289.56,89206.49,306935.34,290890.18,13264.37,2780.79,conventional,2015,LosAngeles
180,24,2015-07-12,1.03,2652480.7,1707544.28,548712.47,83398.45,312825.5,298568.77,11398.26,2858.47,conventional,2015,LosAngeles
181,25,2015-07-05,0.96,3435374.51,2373501.16,564583.23,99097.11,398193.01,377663.89,17234.66,3294.46,conventional,2015,LosAngeles
182,26,2015-06-28,0.94,2921148.91,2073077.35,419199.06,75759.53,353112.97,336537.82,13953.67,2621.48,conventional,2015,LosAngeles
183,27,2015-06-21,0.91,3040023.34,2133616.93,473295.46,79616.07,353494.88,334560.23,15484.32,3450.33,conventional,2015,LosAngeles
184,28,2015-06-14,0.79,3689140.93,2747257.69,497878.86,69556.02,374448.36,357012.13,14619.41,2816.82,conventional,2015,LosAngeles
185,29,2015-06-07,0.84,3261844.41,2356669.17,447751.9,71705.74,385717.6,367627.51,14651.88,3438.21,conventional,2015,LosAngeles
186,30,2015-05-31,0.85,3196936.02,2355022.1,455405.46,76580.26,309928.2,292423.13,14480.99,3024.08,conventional,2015,LosAngeles
187,31,2015-05-24,0.97,2853904.6,2013195.78,465604.19,73414.62,301690.01,283662.09,14885.79,3142.13,conventional,2015,LosAngeles
188,32,2015-05-17,0.98,2557700.83,1817736.96,390302.38,54789.31,294872.18,280916.4,11067.18,2888.6,conventional,2015,LosAngeles
189,33,2015-05-10,0.78,3553642.53,2743972.44,390901.84,60232.29,358535.96,345073.29,10675.7,2786.97,conventional,2015,LosAngeles
190,34,2015-05-03,0.78,4015563.02,2914047.44,670161.4,61569.48,369784.7,356360.42,11566.37,1857.91,conventional,2015,LosAngeles
191,35,2015-04-26,1.02,2355703.98,1567937.53,427885.78,62487.28,297393.39,280321.62,15427.14,1644.63,conventional,2015,LosAngeles
192,36,2015-04-19,0.93,2901188.07,2029025.26,487491.5,58423.48,326247.83,279355.95,45364.01,1527.87,conventional,2015,LosAngeles
193,37,2015-04-12,0.93,2799667.4,1818859.19,579426.16,64716.4,336665.65,284383.05,50472.61,1809.99,conventional,2015,LosAngeles
194,38,2015-04-05,1.01,2603114.56,1753452.57,490701.38,73965.36,284995.25,245998.59,36929.22,2067.44,conventional,2015,LosAngeles
195,39,2015-03-29,1.0,2566690.28,1672623.8,535932.2,69022.84,289111.44,250801.63,36844.97,1464.84,conventional,2015,LosAngeles
196,40,2015-03-22,1.01,2466735.33,1423482.89,679696.81,68607.44,294948.19,275797.37,17691.29,1459.53,conventional,2015,LosAngeles
197,41,2015-03-15,0.94,2690257.2,1841764.25,445562.2,70872.78,332057.97,313898.03,16220.47,1939.47,conventional,2015,LosAngeles
198,42,2015-03-08,0.86,2797745.89,2005781.71,400644.42,62567.6,328752.16,311497.6,15650.13,1604.43,conventional,2015,LosAngeles
199,43,2015-03-01,0.75,3094278.93,2145439.03,592196.29,61863.94,294779.67,269524.6,23570.43,1684.64,conventional,2015,LosAngeles
200,44,2015-02-22,0.83,2954705.54,2050402.87,505580.16,61573.28,337149.23,309850.06,25218.02,2081.15,conventional,2015,LosAngeles
201,45,2015-02-15,0.83,2926435.94,2146773.46,408395.74,62511.83,308754.91,271596.41,35034.18,2124.32,conventional,2015,LosAngeles
202,46,2015-02-08,0.9,2641032.65,1673425.82,582236.24,58216.26,327154.33,280560.62,44327.49,2266.22,conventional,2015,LosAngeles
203,47,2015-02-01,0.74,4031949.04,2770656.27,854673.24,64439.7,342179.83,308754.64,31108.07,2317.12,conventional,2015,LosAngeles
204,48,2015-01-25,0.96,2329987.29,1518406.36,456562.55,60922.43,294095.95,255279.65,36398.19,2418.11,conventional,2015,LosAngeles
205,49,2015-01-18,0.89,2800679.5,1925013.31,526106.8,59364.23,290195.16,260857.96,26671.18,2666.02,conventional,2015,LosAngeles
